Name,Role,LinkedIn,Scraped
Ritu Bharadwaj,"Director, Climate Resilience and ... - LinkedIn Executive Leadership - Climate Resilience for All Kathy Baughman McLeod | GAIP Director, Climate Resilience | Habitat for Humanity Kathy Baughman McLeod - Founder & CEO, Climate ... - LinkedIn Climate Resilience for All - LinkedIn A. Nambi Appadurai - Director (Climate Resilience ... - LinkedIn",https://uk.linkedin.com/in/ritu-bharadwaj-410130156,2026-03-03
Kathy Baughman McLeod,"Founder & CEO, Climate ... - LinkedIn Climate Resilience for All - LinkedIn A. Nambi Appadurai - Director (Climate Resilience ... - LinkedIn",https://www.linkedin.com/in/kbmcleod,2026-03-03
Anna Hiatt,Covering Climate Now | LinkedIn,https://www.linkedin.com/in/annahiatt,2026-03-03
Isabelle Mitchell,"Head of Sustainability, Executive ... - LinkedIn",https://uk.linkedin.com/in/isabelle-mitchell-62b1bb189,2026-03-03
Kalmond Ma,Nonprofit & Sustainability Specialist | LinkedIn,https://hk.linkedin.com/in/kalmondma,2026-03-03
Giana Amador,Absolute Climate | LinkedIn,https://www.linkedin.com/in/gianaamador/,2026-03-03
Sean Kosofsky,"The Nonprofit Fixer, Sean Kosofsky | LinkedIn",https://www.linkedin.com/in/kosofsky/,2026-03-03
Bruce Nilles,Executive Director - Climate Imperative | LinkedIn,https://www.linkedin.com/in/bruce-nilles-a4a20547,2026-03-03
Keya Chatterjee,"Social and Climate Justice Advocate, Nonprofit Executive, Author, and former Local Elected Official | LinkedIn",https://www.linkedin.com/in/keya-chatterjee-937a3986/,2026-03-03
Peggy Brannigan,Business Council on Climate Change (BC3) | LinkedIn,https://www.linkedin.com/in/peggybrannigan/,2026-03-03
Robert ter Kuile,WRAP | LinkedIn,https://www.linkedin.com/in/robert-ter-kuile/,2026-03-03
Heather Zanoni,Head of Sustainability and ESG Director | LinkedIn,https://www.linkedin.com/in/heatherzanoni/,2026-03-03
Emma Hopson,Director of Sustainability & Strategic Partnerships | LinkedIn,https://www.linkedin.com/in/emmahopson/,2026-03-03
Jeffrey Hogue,Levi Strauss & Co. | LinkedIn,https://www.linkedin.com/in/jeffreyhogue/,2026-03-03
Dr. Sam Owilly,C-Suite Executive | NGO Governance - LinkedIn,https://ke.linkedin.com/in/drsamowilly,2026-03-03
Matthew R.,Global Head of Climate Resilience | LinkedIn,https://uk.linkedin.com/in/matthew-r-09767b5,2026-03-03
